Species,Plant Type,flag,Height,flag,Leaf Shape,flag,Leaf size (length x width in cm or mm),flag,Bark type,flag,Leaf Apex and Base,flag,pod/fruit width,flag,"Leaf Type (Simple, Compound)",flag,Pinna pairs number,flag,Fruit Shape,flag,Pod weight,flag,Pod or Fruit length,flag,,
populus davidiana,Tree,0,Up to 25 m tall,0,"Deltoid-ovate-orbicular or suborbicular, larger and deltoid-ovate-orbicular on sprouts",0,3-6 cm,0,"Smooth, but rough on basal part of old trunk",0,"Base rounded, truncate, or shallowly cordate; apex acute or shortly acuminate",0,Not applicable,0,Simple,0,Not applicable,0,Ovoid-conical,0,Not applicable,0,Capsule ca. 5 mm,0,25,
ulmus pumila,Tree,0,15 to 30 m,0,Narrowly elliptic to lanceolate,0,2-6.5 x 2-3.5 cm,0,Deeply furrowed with interlacing ridges,0,"Apex acute, base generally not oblique",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Orbiculate samaras,0,Not applicable,0,Not applicable,0,25,
quercus lobata,Tree,0,25(-35) m,0,Broadly obovate or elliptic,0,(40-)50-100(-120) x 30-60(-75) mm,0,"Scaly, deeply checkered in age",0,"Base rounded-attenuate, cuneate, or truncate, rarely subcordate; apex broadly rounded",0,Not applicable,0,Simple,0,Not applicable,0,Oblong or fusiform,0,Not applicable,0,30-60 mm,0,25,
quercus virginiana,Tree or shrub,0,"Trees up to 35 m, shrubs sometimes rhizomatous",0,"Obovate to oblanceolate, sometimes orbiculate or lance-ovate",0,(10-)35-90(-150) x (15-)20-40(-85) mm,0,Scaly,0,"Base cuneate to rounded, rarely truncate or cordate; apex obtuse-rounded or acute",0,Not applicable,0,Simple,0,Not applicable,0,"Barrel-shaped, ovoid, or obcylindric",0,Not applicable,0,15-20(-25) mm,0,25,
syzygium cumini,Tree or shrub,0,Up to 18 m tall,0,Oblong or elliptic,0,8-15 cm long and 4-9 cm wide,0,Fairly smooth,0,"Apex shortly acuminate, base cuneate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,"Ovoid-oblong, often curved",0,Not applicable,0,2-3 cm long,0,25,
populus nigra,Tree,0,30 m tall,0,"Rhombic, rhombic-ovoid, or deltoid",0,5-10 cm x 4-8 cm,0,Furrowed when older,0,"Base cuneate or broadly cuneate, rarely truncate; apex long acuminate",0,Not applicable,0,Simple,0,Not applicable,0,Ovoid,0,Not applicable,0,5-7 mm,0,25,
populus tremula,Tree,0,Up to 20 m tall,0,Suborbicular,0,"3-7 cm, suborbicular",0,"Smooth, irregularly fissured or scabrous at base of trunk",0,"Base truncate, rounded, or shallowly cordate; apex obtuse-rounded, rarely apiculate",0,Not applicable,0,Simple,0,Not applicable,0,Narrowly conical capsule,0,Not applicable,0,"Female catkin 4-6 cm, to 10 cm in fruit",0,25,
lagerstroemia indica,Shrub or small tree,0,Up to 7 m tall,0,Obovate to oblong-elliptic,0,1-6 cm x 0.5-4 cm,0,"Smooth bark, pale outer bark, light ferruginous brown inner bark",0,"Apex acute or acuminate, base broadly cuneate to rounded",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Ellipsoidal capsule,0,Not applicable,0,1-1.3 cm,0,25,
cocos nucifera,Tree,0,Up to 20-30 m tall,0,Linear leaflets,0,Up to 5-7 m long,0,"Smooth, ringed with leaf scars",0,Acuminate apex,0,Not applicable,0,Compound,0,75-125,0,Ovoid to globose,0,Not applicable,0,20-30 cm,0,25,
pinus taeda,Tree,0,Trees to 45 m tall,0,Linear,0,(10-)12-18(-23) cm × 1-2 mm,0,"Forming square or irregularly oblong, scaly plates",0,"Acute to abruptly conic-subulate apex, base with persistent sheath 1-2.5 cm",0,Not applicable,0,Simple (needles),0,Not applicable (needles),0,Narrowly ovoid when open,0,Not applicable,0,6-12 cm,0,25,
